# animation	family	category	default_duration	default_easing	default_fill_mode
blink-1	blink	attention			both
blink-2	blink	attention			both
bounce-top	bounce	attention			both
bounce-bottom	bounce	attention			both
bounce-left	bounce	attention			both
bounce-right	bounce	attention			both
flicker-1	flicker	attention		linear	both
flicker-2	flicker	attention		linear	both
flicker-3	flicker	attention		linear	both
flicker-4	flicker	attention		linear	both
flicker-5	flicker	attention		linear	both
jello-horizontal	jello	attention			both
jello-vertical	jello	attention			both
jello-diagonal-1	jello	attention			both
jello-diagonal-2	jello	attention			both
heartbeat	pulsate	attention		ease-in-out	both
pulsate-bck	pulsate	attention		ease-in-out	both
pulsate-fwd	pulsate	attention		ease-in-out	both
ping	pulsate	attention		ease-in-out	both
shake-horizontal	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-vertical	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-lr	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-top	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-tr	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-right	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-br	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-bottom	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-bl	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-left	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
shake-tl	shake	attention	.8s	cubic-bezier(.455,.03,.515,.955)	both
vibrate-1	vibrate	attention		linear	both
vibrate-2	vibrate	attention		linear	both
vibrate-3	vibrate	attention		linear	both
wobble-hor-bottom	wobble	attention	.8s		both
wobble-hor-top	wobble	attention	.8s		both
wobble-ver-left	wobble	attention	.8s		both
wobble-ver-right	wobble	attention	.8s		both
bg-pan-left	bg-pan	background	8s		both
bg-pan-right	bg-pan	background	8s		both
bg-pan-top	bg-pan	background	8s		both
bg-pan-bottom	bg-pan	background	8s		both
bg-pan-tr	bg-pan	background	8s		both
bg-pan-br	bg-pan	background	8s		both
bg-pan-bl	bg-pan	background	8s		both
bg-pan-tl	bg-pan	background	8s		both
color-change-2x	color-change	background		linear	both
color-change-3x	color-change	background		linear	both
color-change-4x	color-change	background		linear	both
color-change-5x	color-change	background		linear	both
kenburns-top	kenburns	background	5s	ease-out	both
kenburns-top-right	kenburns	background	5s	ease-out	both
kenburns-right	kenburns	background	5s	ease-out	both
kenburns-bottom-right	kenburns	background	5s	ease-out	both
kenburns-bottom	kenburns	background	5s	ease-out	both
kenburns-bottom-left	kenburns	background	5s	ease-out	both
kenburns-left	kenburns	background	5s	ease-out	both
kenburns-top-left	kenburns	background	5s	ease-out	both
flip-2-hor-top-1	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-top-2	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-top-bck	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-top-fwd	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-right-1	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-right-2	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-right-bck	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-right-fwd	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-bottom-1	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-bottom-2	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-bottom-bck	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-hor-bottom-fwd	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-left-1	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-left-2	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-left-bck	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-2-ver-left-fwd	flip-2	basic	.5s	cubic-bezier(.455,.03,.515,.955)	both
flip-scale-2-hor-top	flip-scale-2	basic	.5s	linear	both
flip-scale-2-ver-right	flip-scale-2	basic	.5s	linear	both
flip-scale-2-hor-bottom	flip-scale-2	basic	.5s	linear	both
flip-scale-2-ver-left	flip-scale-2	basic	.5s	linear	both
flip-scale-up-hor	flip-scale	basic	.5s	linear	both
flip-scale-down-hor	flip-scale	basic	.5s	linear	both
flip-scale-up-ver	flip-scale	basic	.5s	linear	both
flip-scale-down-ver	flip-scale	basic	.5s	linear	both
flip-scale-up-diag-1	flip-scale	basic	.5s	linear	both
flip-scale-down-diag-1	flip-scale	basic	.5s	linear	both
flip-scale-up-diag-2	flip-scale	basic	.5s	linear	both
flip-scale-down-diag-2	flip-scale	basic	.5s	linear	both
