# name	type	tags	description_or_title	npm_deps	payload_file
accordion	ui	accordion	accordion (ui primitive)	radix-ui	vendor/origin/r/accordion.json
alert-dialog	ui	alert-dialog	alert-dialog (ui primitive)	radix-ui	vendor/origin/r/alert-dialog.json
avatar	ui	avatar	avatar (ui primitive)	radix-ui	vendor/origin/r/avatar.json
badge	ui	badge	badge (ui primitive)	radix-ui	vendor/origin/r/badge.json
breadcrumb	ui	breadcrumb	breadcrumb (ui primitive)	radix-ui	vendor/origin/r/breadcrumb.json
button	ui	button	button (ui primitive)	radix-ui	vendor/origin/r/button.json
calendar	ui	calendar	calendar (ui primitive)	react-day-picker,date-fns	vendor/origin/r/calendar.json
calendar-rac	ui	calendar-rac	calendar-rac (ui primitive)	react-aria-components,@internationalized/date	vendor/origin/r/calendar-rac.json
checkbox	ui	checkbox	checkbox (ui primitive)	radix-ui	vendor/origin/r/checkbox.json
checkbox-tree	ui	checkbox-tree	checkbox-tree (ui primitive)		vendor/origin/r/checkbox-tree.json
collapsible	ui	collapsible	collapsible (ui primitive)	radix-ui	vendor/origin/r/collapsible.json
command	ui	command	command (ui primitive)	cmdk	vendor/origin/r/command.json
cropper	ui	cropper	cropper (ui primitive)	@origin-space/image-cropper	vendor/origin/r/cropper.json
datefield-rac	ui	datefield-rac	datefield-rac (ui primitive)	react-aria-components	vendor/origin/r/datefield-rac.json
dialog	ui	dialog	dialog (ui primitive)	radix-ui	vendor/origin/r/dialog.json
dropdown-menu	ui	dropdown-menu	dropdown-menu (ui primitive)	radix-ui	vendor/origin/r/dropdown-menu.json
hover-card	ui	hover-card	hover-card (ui primitive)	radix-ui	vendor/origin/r/hover-card.json
input	ui	input	input (ui primitive)		vendor/origin/r/input.json
label	ui	label	label (ui primitive)	radix-ui	vendor/origin/r/label.json
multiselect	ui	multiselect	multiselect (ui primitive)		vendor/origin/r/multiselect.json
navigation-menu	ui	navigation-menu	navigation-menu (ui primitive)		vendor/origin/r/navigation-menu.json
pagination	ui	pagination	pagination (ui primitive)		vendor/origin/r/pagination.json
popover	ui	popover	popover (ui primitive)	radix-ui	vendor/origin/r/popover.json
progress	ui	progress	progress (ui primitive)	radix-ui	vendor/origin/r/progress.json
radio-group	ui	radio-group	radio-group (ui primitive)	radix-ui	vendor/origin/r/radio-group.json
scroll-area	ui	scroll-area	scroll-area (ui primitive)	radix-ui	vendor/origin/r/scroll-area.json
select-native	ui	select-native	select-native (ui primitive)		vendor/origin/r/select-native.json
select	ui	select	select (ui primitive)	radix-ui	vendor/origin/r/select.json
slider	ui	slider	slider (ui primitive)	radix-ui	vendor/origin/r/slider.json
sonner	ui	sonner	sonner (ui primitive)	sonner,next-themes	vendor/origin/r/sonner.json
stepper	ui	stepper	stepper (ui primitive)	radix-ui	vendor/origin/r/stepper.json
switch	ui	switch	switch (ui primitive)	radix-ui	vendor/origin/r/switch.json
table	ui	table	table (ui primitive)		vendor/origin/r/table.json
tabs	ui	tabs	tabs (ui primitive)	radix-ui	vendor/origin/r/tabs.json
textarea	ui	textarea	textarea (ui primitive)		vendor/origin/r/textarea.json
timeline	ui	timeline	timeline (ui primitive)	radix-ui	vendor/origin/r/timeline.json
toast	ui	toast	toast (ui primitive)	radix-ui	vendor/origin/r/toast.json
toggle	ui	toggle	toggle (ui primitive)	radix-ui	vendor/origin/r/toggle.json
toggle-group	ui	toggle-group	toggle-group (ui primitive)	radix-ui	vendor/origin/r/toggle-group.json
tooltip	ui	tooltip	tooltip (ui primitive)	radix-ui	vendor/origin/r/tooltip.json
tree	component	tree	tree (component)	@headless-tree/core,@headless-tree/react,radix-ui	vendor/origin/r/tree.json
use-character-limit	hook	use-character-limit	use-character-limit (hook)		vendor/origin/r/use-character-limit.json
use-file-upload	hook	use-file-upload	use-file-upload (hook)		vendor/origin/r/use-file-upload.json
use-pagination	hook	use-pagination	use-pagination (hook)		vendor/origin/r/use-pagination.json
use-slider-with-input	hook	use-slider-with-input	use-slider-with-input (hook)		vendor/origin/r/use-slider-with-input.json
use-toast	hook	use-toast	use-toast (hook)		vendor/origin/r/use-toast.json
utils	lib	utils	utils (lib)	clsx,tailwind-merge	vendor/origin/r/utils.json
comp-01	component	input,label	input/label — variant 01		vendor/origin/r/comp-01.json
comp-02	component	input,label,required	input/label/required — variant 02		vendor/origin/r/comp-02.json
comp-03	component	input,label,helper	input/label/helper — variant 03		vendor/origin/r/comp-03.json
comp-04	component	input,label,hint	input/label/hint — variant 04		vendor/origin/r/comp-04.json
comp-05	component	input,label	input/label — variant 05		vendor/origin/r/comp-05.json
comp-06	component	input,label,error	input/label/error — variant 06		vendor/origin/r/comp-06.json
comp-07	component	input,label	input/label — variant 07		vendor/origin/r/comp-07.json
comp-08	component	input,label,disabled	input/label/disabled — variant 08		vendor/origin/r/comp-08.json
comp-09	component	input,label	input/label — variant 09		vendor/origin/r/comp-09.json
comp-10	component	input,label	input/label — variant 10		vendor/origin/r/comp-10.json
comp-11	component	input,label	input/label — variant 11		vendor/origin/r/comp-11.json
comp-12	component	input,label	input/label — variant 12		vendor/origin/r/comp-12.json
comp-13	component	input,label	input/label — variant 13		vendor/origin/r/comp-13.json
comp-14	component	input,label	input/label — variant 14		vendor/origin/r/comp-14.json
comp-15	component	input,label	input/label — variant 15		vendor/origin/r/comp-15.json
comp-16	component	input,label	input/label — variant 16		vendor/origin/r/comp-16.json
comp-17	component	input,label,select,native select	input/label/select — variant 17		vendor/origin/r/comp-17.json
comp-18	component	input,label,select,native select	input/label/select — variant 18		vendor/origin/r/comp-18.json
comp-19	component	input,label,button	input/label/button — variant 19		vendor/origin/r/comp-19.json
comp-20	component	input,label,button	input/label/button — variant 20		vendor/origin/r/comp-20.json
comp-21	component	input,label,button	input/label/button — variant 21		vendor/origin/r/comp-21.json
comp-22	component	input,label,button	input/label/button — variant 22		vendor/origin/r/comp-22.json
comp-23	component	input,label,button,password	input/label/button — variant 23		vendor/origin/r/comp-23.json
comp-24	component	input,label,button	input/label/button — variant 24		vendor/origin/r/comp-24.json
comp-25	component	input,label,search,kbd	input/label/search — variant 25		vendor/origin/r/comp-25.json
comp-26	component	input,label,button,search	input/label/button — variant 26		vendor/origin/r/comp-26.json
comp-27	component	input,label,button,search	input/label/button — variant 27		vendor/origin/r/comp-27.json
comp-28	component	input,label,button,number,react aria	input/label/button — variant 28	react-aria-components	vendor/origin/r/comp-28.json
comp-29	component	input,label,button,number,react aria	input/label/button — variant 29	react-aria-components	vendor/origin/r/comp-29.json
comp-30	component	input,label,file	input/label/file — variant 30		vendor/origin/r/comp-30.json
comp-31	component	input,label	input/label — variant 31		vendor/origin/r/comp-31.json
comp-32	component	input,label	input/label — variant 32		vendor/origin/r/comp-32.json
comp-33	component	input,label	input/label — variant 33		vendor/origin/r/comp-33.json
comp-34	component	input,label	input/label — variant 34		vendor/origin/r/comp-34.json
comp-35	component	input,label	input/label — variant 35		vendor/origin/r/comp-35.json
