# palette_id	ui_fit	hex_colors (5-6 per palette)
cmbhztcmh000al80cd86lbtbu	dark-ui,light-ui	#32aad5,#541424,#ace4dc,#9c7464,#2c5f56,#d8bebd
cmbhzmc240004ky0c3u0timfv	accent-only	#247ce8,#c7bc0a,#efa491,#777981,#a2d4b1,#444c4c
cmbhyfpoq0002jy0coidn6u0t	accent-only	#fbc304,#8c6305,#f95ec1,#546484,#565656,#acbebe
cmbhy77g80000l50ct7kvyovv	dark-ui	#342c64,#6982f1,#132463,#6fbc84,#40627e,#c6a29d
cmbhxu4mv0000le0cz7jmox8y	accent-only	#f6532d,#882919,#f16e57,#9a5952,#4e2c2b,#b6c3d8
cmbhxp5v60002jo0dx2ycu2jc	accent-only	#2c7cec,#2c9452,#d77fe7,#72907d,#343434,#8fc5a1
cmbhx6i770006l50is554nfzd	accent-only	#0fb674,#1b4658,#7ad3ed,#64649c,#2a4f48,#c5bcb9
cmbhx1yja001el70c6c1uzbyl	dark-ui,light-ui	#043444,#1cbbfb,#f6807b,#a7524f,#344e57,#e2e6e6
cmbhvwlaw0004le0cazqbn8bg	light-ui	#edaf06,#792210,#fadf28,#ab7d5c,#7e6f41,#d5cbb4
cmbhvajoi000ijs0dmnclensn	light-ui	#7c7c7c,#b48c14,#bcdcfc,#6a6a6a,#c4c4c4,#b28404
cmbhuissy000ajs0cmr7x73et	light-ui	#28346a,#3edee3,#83f48e,#539a4b,#3f413e,#b6cea0
cmbhtku8l0006kw0cq06zadhq	light-ui	#67b3bc,#28565c,#fcf4f4,#70789c,#4a4d51,#afd4d8
cmbhtbpt0000al80cq1ta06sm	dark-ui,light-ui	#0454ea,#4d87e6,#af785a,#7a564a,#d6d3b6,#042474
cmbht2kxc0002la0c1rk2esu5	dark-ui	#ea832e,#9c290f,#fba541,#8b6255,#2a161b,#d8cabb
cmbhsrlum0004le0cauoncad9	dark-ui	#2fa4df,#204a71,#7bbadf,#1f2a37,#abbac2,#777777
cmbhrdtgt0002k20cfluzm1gc	dark-ui	#9b100f,#85aef8,#a4b15a,#1c1e3e,#c2c4cb,#2c5fdf
cmbhr3h3x0000l40cjgh1apd8	light-ui	#cdbcaa,#3c9cf3,#4e6624,#ccf474,#a4745d,#5e3f37
cmbhr2gb60000js0c6k30thhg	light-ui	#7c341c,#f2ca3c,#b4f33e,#a2915b,#5f3f36,#d6caa7
cmbhq2r5h000ajl0cfnzh3ua7	accent-only	#877f6e,#f81c88,#0971a7,#fb7ebb,#453e3b,#cdb6c3
cmbhpop190000l50b3cik951u	dark-ui	#d4bcfc,#7540af,#3b0692,#45058b,#4a2870,#490593
cmbhphn6a0000l80cdh9xfj1m	dark-ui,light-ui	#f4e404,#7c740d,#fcf47c,#090804,#968c02
cmbhpgvry0002l40cxxdkd5pu	dark-ui	#445cfb,#bcbcbf,#7c8484,#1c256b,#4453ee,#3c444c
cmbhpghma0000lb0ckac0oaos	light-ui	#e19b30,#1a4696,#6a749d,#622e3e,#d2e1e8,#4c5aed
cmbhpct8d0000l20bdr59kgk4	accent-only	#bdbbc5,#7f66e8,#9e8bed,#543ca6,#544c94,#33323c
cmbhpcrks0004lb0c9f1wwxjc	accent-only	#3e463e,#848483,#b8c0b8,#bcc4bc,#778777,#454545
cmbhoiu1x0000lb0c0fj84odp	dark-ui,light-ui	#ec1d16,#741924,#f4fcfb,#6fac9c,#382824,#b4d0c4
cmbhnbtgu0004jq0csvpihxto	light-ui	#f85c07,#802f03,#efbd9b,#697c94,#40414d,#d8d4ac
cmbhna6xe0000l20ckovtawiw	dark-ui	#2e6cf2,#072c7c,#acccf0,#bcbcbb,#4c444c,#838484
cmbhn8jg2000fl90bojvftzhg	dark-ui	#075ee2,#620565,#edbda0,#aa548e,#483e3e,#ddc3d6
cmbhn7twg0000l90bywllr05w	dark-ui	#dbc5d5,#f75510,#5c1467,#f7bda1,#914140,#33313e
cmbhn57ou000elb0cl8dr6u17	accent-only	#1a4076,#f5b2a5,#a8737d,#342c5d,#cd9099,#cc2c24
cmbhn4k5f0004l80d98pxye0a	accent-only	#e5b731,#1c3c78,#fcbcb1,#b07c6a,#3c2c5c,#d4aaaf
cmbhn1pf40006l90cqk1ufmyo	accent-only	#343544,#31aa6f,#2b7154,#cfa58b,#9d684e,#d2c2a3
cmbhn08t5000xl10curkx1hqd	accent-only	#454242,#d95732,#5e3d2c,#dfb9a1,#947e6d,#a2d5bc
cmbhmmvj90002jr0dtjhjpyhl	accent-only	#365374,#174264,#a4bbd4,#678194,#2a445b,#b3c3d4
cmbhmm7u9000il10c7grd4q42	accent-only	#2c648c,#183e60,#acd4e4,#6688ac,#2d3f58,#aabcc8
cmbhmjlfk0008l20c285849p1	accent-only	#24d47c,#196c44,#f45a5a,#777b7a,#545757,#adbfb7
cmbhmh4wi000mla0dupw3j2mx	dark-ui	#fac605,#82560f,#4c74fb,#3f2427,#c9a9ad,#5c7c9c
cmbhmg0v70000k30ddtir7d22	accent-only	#a9bcc8
cmbhmfb360002la0dm9u4auqb	accent-only	#752a25,#748cfc,#9e5e4b,#574d3f,#bdb2ba
