# scale	step	light_hex	dark_hex	semantic_role	gray_pairing	step9_foreground
amber	1	#fefdfb	#16120c	app-bg	sand	dark
amber	2	#fefbe9	#1d180f	app-bg	sand	dark
amber	3	#fff7c2	#302008	component-state	sand	dark
amber	4	#ffee9c	#3f2700	component-state	sand	dark
amber	5	#fbe577	#4d3000	component-state	sand	dark
amber	6	#f3d673	#5c3d05	border	sand	dark
amber	7	#e9c162	#714f19	border	sand	dark
amber	8	#e2a336	#8f6424	border	sand	dark
amber	9	#ffc53d	#ffc53d	solid-accent	sand	dark
amber	10	#ffba18	#ffd60a	solid-accent	sand	dark
amber	11	#ab6400	#ffca16	text	sand	dark
amber	12	#4f3422	#ffe7b3	text	sand	dark
blue	1	#fbfdff	#0d1520	app-bg	slate	white
blue	2	#f4faff	#111927	app-bg	slate	white
blue	3	#e6f4fe	#0d2847	component-state	slate	white
blue	4	#d5efff	#003362	component-state	slate	white
blue	5	#c2e5ff	#004074	component-state	slate	white
blue	6	#acd8fc	#104d87	border	slate	white
blue	7	#8ec8f6	#205d9e	border	slate	white
blue	8	#5eb1ef	#2870bd	border	slate	white
blue	9	#0090ff	#0090ff	solid-accent	slate	white
blue	10	#0588f0	#3b9eff	solid-accent	slate	white
blue	11	#0d74ce	#70b8ff	text	slate	white
blue	12	#113264	#c2e6ff	text	slate	white
bronze	1	#fdfcfc	#141110	app-bg	sand	white
bronze	2	#fdf7f5	#1c1917	app-bg	sand	white
bronze	3	#f6edea	#262220	component-state	sand	white
bronze	4	#efe4df	#302a27	component-state	sand	white
bronze	5	#e7d9d3	#3b3330	component-state	sand	white
bronze	6	#dfcdc5	#493e3a	border	sand	white
bronze	7	#d3bcb3	#5a4c47	border	sand	white
bronze	8	#c2a499	#6f5f58	border	sand	white
bronze	9	#a18072	#a18072	solid-accent	sand	white
bronze	10	#957468	#ae8c7e	solid-accent	sand	white
bronze	11	#7d5e54	#d4b3a5	text	sand	white
bronze	12	#43302b	#ede0d9	text	sand	white
brown	1	#fefdfc	#12110f	app-bg	sand	white
brown	2	#fcf9f6	#1c1816	app-bg	sand	white
brown	3	#f6eee7	#28211d	component-state	sand	white
brown	4	#f0e4d9	#322922	component-state	sand	white
brown	5	#ebdaca	#3e3128	component-state	sand	white
brown	6	#e4cdb7	#4d3c2f	border	sand	white
brown	7	#dcbc9f	#614a39	border	sand	white
brown	8	#cea37e	#7c5f46	border	sand	white
brown	9	#ad7f58	#ad7f58	solid-accent	sand	white
brown	10	#a07553	#b88c67	solid-accent	sand	white
brown	11	#815e46	#dbb594	text	sand	white
brown	12	#3e332e	#f2e1ca	text	sand	white
crimson	1	#fffcfd	#191114	app-bg	mauve	white
crimson	2	#fef7f9	#201318	app-bg	mauve	white
crimson	3	#ffe9f0	#381525	component-state	mauve	white
crimson	4	#fedce7	#4d122f	component-state	mauve	white
crimson	5	#facedd	#5c1839	component-state	mauve	white
crimson	6	#f3bed1	#6d2545	border	mauve	white
crimson	7	#eaacc3	#873356	border	mauve	white
crimson	8	#e093b2	#b0436e	border	mauve	white
crimson	9	#e93d82	#e93d82	solid-accent	mauve	white
crimson	10	#df3478	#ee518a	solid-accent	mauve	white
crimson	11	#cb1d63	#ff92ad	text	mauve	white
crimson	12	#621639	#fdd3e8	text	mauve	white
cyan	1	#fafdfe	#0b161a	app-bg	slate	white
cyan	2	#f2fafb	#101b20	app-bg	slate	white
cyan	3	#def7f9	#082c36	component-state	slate	white
cyan	4	#caf1f6	#003848	component-state	slate	white
cyan	5	#b5e9f0	#004558	component-state	slate	white
cyan	6	#9ddde7	#045468	border	slate	white
cyan	7	#7dcedc	#12677e	border	slate	white
cyan	8	#3db9cf	#11809c	border	slate	white
cyan	9	#00a2c7	#00a2c7	solid-accent	slate	white
cyan	10	#0797b9	#23afd0	solid-accent	slate	white
cyan	11	#107d98	#4ccce6	text	slate	white
cyan	12	#0d3c48	#b6ecf7	text	slate	white
gold	1	#fdfdfc	#121211	app-bg	sand	white
gold	2	#faf9f2	#1b1a17	app-bg	sand	white
gold	3	#f2f0e7	#24231f	component-state	sand	white
gold	4	#eae6db	#2d2b26	component-state	sand	white
gold	5	#e1dccf	#38352e	component-state	sand	white
gold	6	#d8d0bf	#444039	border	sand	white
gold	7	#cbc0aa	#544f46	border	sand	white
gold	8	#b9a88d	#696256	border	sand	white
gold	9	#978365	#978365	solid-accent	sand	white
gold	10	#8c7a5e	#a39073	solid-accent	sand	white
gold	11	#71624b	#cbb99f	text	sand	white
gold	12	#3b352b	#e8e2d9	text	sand	white
grass	1	#fbfefb	#0e1511	app-bg	olive	white
grass	2	#f5fbf5	#141a15	app-bg	olive	white
grass	3	#e9f6e9	#1b2a1e	component-state	olive	white
grass	4	#daf1db	#1d3a24	component-state	olive	white
grass	5	#c9e8ca	#25482d	component-state	olive	white
grass	6	#b2ddb5	#2d5736	border	olive	white
grass	7	#94ce9a	#366740	border	olive	white
grass	8	#65ba74	#3e7949	border	olive	white
grass	9	#46a758	#46a758	solid-accent	olive	white
grass	10	#3e9b4f	#53b365	solid-accent	olive	white
grass	11	#2a7e3b	#71d083	text	olive	white
grass	12	#203c25	#c2f0c2	text	olive	white
gray	1	#fcfcfc	#111111	app-bg	-	white
gray	2	#f9f9f9	#191919	app-bg	-	white
gray	3	#f0f0f0	#222222	component-state	-	white
gray	4	#e8e8e8	#2a2a2a	component-state	-	white
gray	5	#e0e0e0	#313131	component-state	-	white
gray	6	#d9d9d9	#3a3a3a	border	-	white
gray	7	#cecece	#484848	border	-	white
gray	8	#bbbbbb	#606060	border	-	white
gray	9	#8d8d8d	#6e6e6e	solid-accent	-	white
gray	10	#838383	#7b7b7b	solid-accent	-	white
gray	11	#646464	#b4b4b4	text	-	white
gray	12	#202020	#eeeeee	text	-	white
green	1	#fbfefc	#0e1512	app-bg	sage	white
green	2	#f4fbf6	#121b17	app-bg	sage	white
green	3	#e6f6eb	#132d21	component-state	sage	white
green	4	#d6f1df	#113b29	component-state	sage	white
green	5	#c4e8d1	#174933	component-state	sage	white
green	6	#adddc0	#20573e	border	sage	white
green	7	#8eceaa	#28684a	border	sage	white
green	8	#5bb98b	#2f7c57	border	sage	white
green	9	#30a46c	#30a46c	solid-accent	sage	white
green	10	#2b9a66	#33b074	solid-accent	sage	white
green	11	#218358	#3dd68c	text	sage	white
green	12	#193b2d	#b1f1cb	text	sage	white
indigo	1	#fdfdfe	#11131f	app-bg	slate	white
indigo	2	#f7f9ff	#141726	app-bg	slate	white
indigo	3	#edf2fe	#182449	component-state	slate	white
indigo	4	#e1e9ff	#1d2e62	component-state	slate	white
indigo	5	#d2deff	#253974	component-state	slate	white
indigo	6	#c1d0ff	#304384	border	slate	white
indigo	7	#abbdf9	#3a4f97	border	slate	white
indigo	8	#8da4ef	#435db1	border	slate	white
indigo	9	#3e63dd	#3e63dd	solid-accent	slate	white
indigo	10	#3358d4	#5472e4	solid-accent	slate	white
indigo	11	#3a5bc7	#9eb1ff	text	slate	white
indigo	12	#1f2d5c	#d6e1ff	text	slate	white
iris	1	#fdfdff	#13131e	app-bg	slate	white
iris	2	#f8f8ff	#171625	app-bg	slate	white
iris	3	#f0f1fe	#202248	component-state	slate	white
iris	4	#e6e7ff	#262a65	component-state	slate	white
iris	5	#dadcff	#303374	component-state	slate	white
iris	6	#cbcdff	#3d3e82	border	slate	white
iris	7	#b8baf8	#4a4a95	border	slate	white
iris	8	#9b9ef0	#5958b1	border	slate	white
iris	9	#5b5bd6	#5b5bd6	solid-accent	slate	white
iris	10	#5151cd	#6e6ade	solid-accent	slate	white
iris	11	#5753c6	#b1a9ff	text	slate	white
iris	12	#272962	#e0dffe	text	slate	white
jade	1	#fbfefd	#0d1512	app-bg	sage	white
jade	2	#f4fbf7	#121c18	app-bg	sage	white
jade	3	#e6f7ed	#0f2e22	component-state	sage	white
jade	4	#d6f1e3	#0b3b2c	component-state	sage	white
jade	5	#c3e9d7	#114837	component-state	sage	white
jade	6	#acdec8	#1b5745	border	sage	white
jade	7	#8bceb6	#246854	border	sage	white
jade	8	#56ba9f	#2a7e68	border	sage	white
jade	9	#29a383	#29a383	solid-accent	sage	white
jade	10	#26997b	#27b08b	solid-accent	sage	white
jade	11	#208368	#1fd8a4	text	sage	white
jade	12	#1d3b31	#adf0d4	text	sage	white
lime	1	#fcfdfa	#11130c	app-bg	olive	dark
lime	2	#f8faf3	#151a10	app-bg	olive	dark
lime	3	#eef6d6	#1f2917	component-state	olive	dark
lime	4	#e2f0bd	#29371d	component-state	olive	dark
lime	5	#d3e7a6	#334423	component-state	olive	dark
lime	6	#c2da91	#3d522a	border	olive	dark
lime	7	#abc978	#496231	border	olive	dark
lime	8	#8db654	#577538	border	olive	dark
lime	9	#bdee63	#bdee63	solid-accent	olive	dark
lime	10	#b0e64c	#d4ff70	solid-accent	olive	dark
lime	11	#5c7c2f	#bde56c	text	olive	dark
lime	12	#37401c	#e3f7ba	text	olive	dark
mauve	1	#fdfcfd	#121113	app-bg	-	white
mauve	2	#faf9fb	#1a191b	app-bg	-	white
mauve	3	#f2eff3	#232225	component-state	-	white
mauve	4	#eae7ec	#2b292d	component-state	-	white
mauve	5	#e3dfe6	#323035	component-state	-	white
mauve	6	#dbd8e0	#3c393f	border	-	white
mauve	7	#d0cdd7	#49474e	border	-	white
mauve	8	#bcbac7	#625f69	border	-	white
mauve	9	#8e8c99	#6f6d78	solid-accent	-	white
mauve	10	#84828e	#7c7a85	solid-accent	-	white
mauve	11	#65636d	#b5b2bc	text	-	white
mauve	12	#211f26	#eeeef0	text	-	white
mint	1	#f9fefd	#0e1515	app-bg	sage	dark
mint	2	#f2fbf9	#0f1b1b	app-bg	sage	dark
mint	3	#ddf9f2	#092c2b	component-state	sage	dark
mint	4	#c8f4e9	#003a38	component-state	sage	dark
mint	5	#b3ecde	#004744	component-state	sage	dark
mint	6	#9ce0d0	#105650	border	sage	dark
mint	7	#7ecfbd	#1e685f	border	sage	dark
mint	8	#4cbba5	#277f70	border	sage	dark
mint	9	#86ead4	#86ead4	solid-accent	sage	dark
mint	10	#7de0cb	#a8f5e5	solid-accent	sage	dark
mint	11	#027864	#58d5ba	text	sage	dark
mint	12	#16433c	#c4f5e1	text	sage	dark
olive	1	#fcfdfc	#111210	app-bg	-	white
olive	2	#f8faf8	#181917	app-bg	-	white
olive	3	#eff1ef	#212220	component-state	-	white
olive	4	#e7e9e7	#282a27	component-state	-	white
