# rule_id	impact	wcag_tags	description	in_allowlist
area-alt	Critical	cat.text-alternatives,wcag2a,wcag244,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.2.4.4,EN-9.4.1.2,ACT,RGAAv4,RGAA-1.1.2	Ensure <area> elements of image maps have alternative text	no
aria-allowed-attr	Critical	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure an element's role supports its ARIA attributes	yes
aria-braille-equivalent	Serious	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2	Ensure aria-braillelabel and aria-brailleroledescription have a non-braille equivalent	no
aria-command-name	Serious	cat.aria,wcag2a,wcag412,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-11.9.1	Ensure every ARIA button, link and menuitem has an accessible name	yes
aria-conditional-attr	Serious	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure ARIA attributes are used as described in the specification of the element's role	no
aria-deprecated-role	Minor	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure elements do not use deprecated roles	no
aria-hidden-body	Critical	cat.aria,wcag2a,wcag131,wcag412,EN-301-549,EN-9.1.3.1,EN-9.4.1.2,RGAAv4,RGAA-10.8.1	Ensure aria-hidden="true" is not present on the document body.	no
aria-hidden-focus	Serious	cat.name-role-value,wcag2a,wcag412,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-10.8.1	Ensure aria-hidden elements are not focusable nor contain focusable elements	yes
aria-input-field-name	Serious	cat.aria,wcag2a,wcag412,TTv5,TT5.c,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-11.1.1	Ensure every ARIA input field has an accessible name	no
aria-meter-name	Serious	cat.aria,wcag2a,wcag111,EN-301-549,EN-9.1.1.1,RGAAv4,RGAA-11.1.1	Ensure every ARIA meter node has an accessible name	no
aria-progressbar-name	Serious	cat.aria,wcag2a,wcag111,EN-301-549,EN-9.1.1.1,RGAAv4,RGAA-11.1.1	Ensure every ARIA progressbar node has an accessible name	no
aria-prohibited-attr	Serious	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure ARIA attributes are not prohibited for an element's role	no
aria-required-attr	Critical	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure elements with ARIA roles have all required ARIA attributes	yes
aria-required-children	Critical	cat.aria,wcag2a,wcag131,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-9.3.1	Ensure elements with an ARIA role that require child roles contain them	no
aria-required-parent	Critical	cat.aria,wcag2a,wcag131,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-9.3.1	Ensure elements with an ARIA role that require parent roles are contained by them	no
aria-roles	Critical	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure all elements with a role attribute use a valid value	no
aria-tab-name	Serious	cat.aria,wcag2a,wcag412,TTv5,TT5.c,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-7.1.1	Ensure every ARIA tab node has an accessible name	no
aria-toggle-field-name	Serious	cat.aria,wcag2a,wcag412,TTv5,TT5.c,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-7.1.1	Ensure every ARIA toggle field has an accessible name	no
aria-tooltip-name	Serious	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2	Ensure every ARIA tooltip node has an accessible name	no
aria-valid-attr-value	Critical	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure all ARIA attributes have valid values	yes
aria-valid-attr	Critical	cat.aria,wcag2a,wcag412,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure attributes that begin with aria- are valid ARIA attributes	yes
blink	Serious	cat.time-and-media,wcag2a,wcag222,section508,section508.22.j,TTv5,TT2.b,EN-301-549,EN-9.2.2.2,RGAAv4,RGAA-13.8.1	Ensure <blink> elements are not used	no
button-name	Critical	cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-11.9.1	Ensure buttons have discernible text	yes
